"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"102",="9945","潤泰新","市","03/08","42.75","+0.6","+1.42","10","150","150","643","43.5","28.9","有","","有","","","","其他業","簡滄圳","李志宏"
"103",="1605","華新","市","03/08","18.25","0","0","10","343","343","626","54.3","48.3","有","有","有","","","","電器電纜","焦佑倫","潘文虎"
"104",="5274","信驊","櫃","03/08","1795","-5","-0.28","10","3.43","3.43","616","16.3","7.9","有","","有","","","","半導體業","林鴻明","林鴻明"
"105",="3023","信邦","市","03/08","263","-1.5","-0.57","10","23.3","23.3","612","31.3","19.8","","","有","","","","電子零組件業","王紹新","梁偉銘"
"106",="2923","鼎固-KY","市","03/08","34.9","-0.3","-0.85","10","174","174","607","13.3","8.3","","","","","","","建材營造業","張洪本","張能耀"
"107",="3529","力旺","櫃","03/08","789","-12","-1.5","10","7.61","7.61","600","20.5","10.1","有","","有","","","","半導體業","徐清祥","沈士傑"
"108",="5904","寶雅","櫃","03/08","605","-9","-1.47","10","9.77","9.77","591","24","18.5","","","有","","","","貿易百貨業","陳建造","陳宗成"
"109",="2542","興富發","市","03/08","45.25","+0.3","+0.67","10","128","128","581","41.1","21.9","有","","有","","","","建材營造業","鄭志隆","范華軍"
"110",="5903","全家","櫃","03/08","260","+0.5","+0.19","10","22.3","22.3","580","32.6","19","","","","","","","貿易百貨業","葉榮廷","薛東都"
"111",="3661","世芯-KY","市","03/08","830","0","0","10","6.99","6.97","578","18","6.4","","","有","","","","半導體業","關建英","沈翔霖"
"112",="1802","台玻","市","03/08","19.8","+0.25","+1.28","10","291","291","576","56.5","47.6","","","有","","","","玻璃陶瓷","林伯豐","林伯實"
"113",="3714","富采","市","03/08","83.1","-2.9","-3.37","10","68.6","68.6","570","0.2","0.2","有","有","","","","","光電業","李秉傑","李秉傑"
"114",="2352","佳世達","市","03/08","28.7","-0.75","-2.55","10","197","197","564","36.9","24.6","有","","有","","","","電腦及週邊設備業","陳其宏","陳其宏"
"115",="8069","元太","櫃","03/08","49.2","+0.2","+0.41","10","114","114","561","28.7","16.9","有","","有","","有","","光電業","李政昊","甘豐源"
"116",="1229","聯華","市","03/08","43.6","+0.5","+1.16","10","128","128","559","65.6","44.6","","","有","","","","食品工業","苗豐強","林信宏"
"117",="3532","台勝科","市","03/08","143.5","+2.5","+1.77","10","38.8","38.8","557","25.3","13.2","有","","有","","","","半導體業","林健男","田中惠一"
"118",="2376","技嘉","市","03/08","87.4","+2","+2.34","10","63.6","63.6","556","34.9","22.5","有","","有","","","","電腦及週邊設備業","葉培城","李宜泰"
"119",="6176","瑞儀","市","03/08","119","-0.5","-0.42","10","46.5","46.5","553","25.6","18.9","有","","有","","","","光電業","王本然","王本然(總執行長)"
"120",="2383","台光電","市","03/08","166","-1.5","-0.9","10","33.3","33.3","553","29","24.2","有","","有","有","","","電子零組件業","董定宇","董定宇"
"121",="3406","玉晶光","市","03/08","480.5","-2.5","-0.52","10","11.2","11.1","535","31.1","15.2","有","","有","","","","光電業","陳天慶","郭英理"
"122",="3443","創意","市","03/08","395","-10","-2.47","10","13.4","13.4","529","23.1","14.3","有","","有","","","","半導體業","曾繁城","陳超乾"
"123",="3293","鈊象","櫃","03/08","748","0","0","10","7.05","7.05","527","31.3","14.7","有","","有","","","","文化創意業","李柯柱","江順成"
"124",="3533","嘉澤","市","03/08","507","+8","+1.6","10","10.3","10.3","525","34.5","13.2","有","","有","","","","電子零組件業","朱德祥","何德佑"
"125",="2458","義隆","市","03/08","172","-0.5","-0.29","10","30.4","30.4","523","26.8","19.5","有","","有","","","","半導體業","葉儀皓","葉儀皓"
"126",="1722","台肥","市","03/08","53.2","+0.1","+0.19","10","98","98","521","74.9","23","有","","有","","","","化學工業","黃耀興","黃耀興"
"127",="1227","佳格","市","03/08","56.9","+0.9","+1.61","10","91.5","91.5","521","34.8","26.9","","","","","","","食品工業","曹德風","曹博睿"
"128",="1434","福懋","市","03/08","30.45","-0.05","-0.16","10","168","168","513","47.9","35.2","","","","","","","紡織纖維","王文淵","李敏章"
"129",="2313","華通","市","03/08","42.4","-0.5","-1.17","10","119","119","505","47.5","30.6","有","","有","","","","電子零組件業","吳 健","江培琨"
"130",="2027","大成鋼","市","03/08","29.55","-0.65","-2.15","10","166","166","490","34.3","24.4","有","","有","","","","鋼鐵工業","謝麗雲","謝榮坤"
"131",="6531","愛普","市","03/08","654","+1","+0.15","10","7.42","7.39","484","9.6","4.8","","","有","","","","半導體業","陳文良","陳文良"
"132",="6147","頎邦","櫃","03/08","72.2","-0.5","-0.69","10","67.2","67.2","485","23.7","19.1","有","","有","","","","半導體業","吳非艱","高火文"
"133",="1907","永豐餘","市","03/08","28.55","+0.25","+0.88","10","166","166","474","71","44","","","有","","","","造紙工業","何奕達","蔡維力"
"134",="5820","日盛金","櫃","03/08","12.5","0","0","10","377","377","472","19.1","19.1","","","","","","","金控業","黃錦瑭","王芝芳"
"135",="2449","京元電子","市","03/08","38.3","-0.05","-0.13","10","122","122","468","33.8","19.8","有","","有","","","","半導體業","李金恭","劉安炫"
"136",="1788","杏昌","櫃","03/08","124","0","0","10","3.76","3.76","46.7","32.1","11.6","","","","有","","","生技醫療業","李忠良","陳國師"
"137",="2812","台中銀","市","03/08","11.2","0","0","10","415","415","465","67.5","36.8","","","有","","","","銀行業","王貴鋒","賈德威"
"138",="6213","聯茂","市","03/08","136.5","-3","-2.15","10","33.3","33.3","454","23.9","18.2","有","","有","有","","","電子零組件業","陳進財","蔡馨(日彗)"
"139",="1477","聚陽","市","03/08","206","+1","+0.49","10","22","22","453","31.2","18.1","有","","有","","","","紡織纖維","周理平","周理平"
"140",="3374","精材","櫃","03/08","166.5","-3.5","-2.06","10","27.1","27.1","452","22.5","5.9","","","有","","","","半導體業","陳家湘","陳家湘"
